tender_id,tender_number,title,description,due_date,bid_opening_date,bid_offer_validity,emd_amount,estimated_cost,organization_details,url
2026_CESWR_1274309_4,2026_CESWR_1274309_4,Work of Providing MS fabricated cage to valves on rising main of LIS-I to IV of Khadakpurna Project,Work of Providing MS fabricated cage to valves on rising main of LIS-I to IV of Khadakpurna Project,11-02-2026,13-02-2026,60,0.00,"10,60,008","CE(SP)-Water Resources Dept. Amravati||SE Buldhana Irrigation Project Circle Buldhana||EE Khadakpurna Project Division, Deulgaon Raja",https://mahatenders.gov.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S%2FIpgQFadKIBWYK3JOtEing%3D%3D
2026_MCGM_1273923_1,2026_MCGM_1273923_1,Supply of material required for maintenance of various sizes water mains and control valves for A.E.W.W.(C)E.S. and A.E.(M.)W.W.E.S.-I division,Supply of material required for maintenance of various sizes water mains and control valves for A.E.W.W.(C)E.S. and A.E.(M.)W.W.E.S.-I division,10-02-2026,11-02-2026,180,"6,000",NA,Municipal Corporation of Greater Mumbai||Hydraulic Engineer Department||Dy.H.E.(Maintenance)||E.E.W.W.(Headworks) Mech and Elect,https://mahatenders.gov.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S0vpmRbtRm3CLFHAdguPkWQ%3D%3D
2026_MCGM_1273498_1,2026_MCGM_1273498_1,"Work of providing expansion joints, replacement of suction distance pipe of Pump No. 201 and 204 and replacement of delivery distance pipe and suction valve of Pump No. 203 at Mazgoan Pumping Station.","Work of providing expansion joints, replacement of suction distance pipe of Pump No. 201 and 204 and replacement of delivery distance pipe and suction valve of Pump No. 203 at Mazgoan Pumping Station.",10-02-2026,11-02-2026,180,"10,500",NA,Municipal Corporation of Greater Mumbai||Sewerage Operation Department||Dy. Ch.E (Sewerage Operation) City||Ex.E. Mechanical (Sewerage) City-I,https://mahatenders.gov.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SKu1TfedIobLkKN5uiNEDbA%3D%3D
2026_GADCH_1273269_1,2026_GADCH_1273269_1,Additional Pipeline And Valve Arrangement To Water Supply Scheme At. Village Amirza,Additional Pipeline And Valve Arrangement To Water Supply Scheme At. Village Amirza In Gp. Amirza Tah. Dist. Gadchiroli,06-02-2026,07-02-2026,180,"1,910",NA,RDD-CEO-GADCHIROLI||GADCHIROLI-Dy. CEO V.P.||GADCHIROLI||AMIRZA,https://mahatenders.gov.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SHosM5izFDEsauFjEbw9ZSg%3D%3D
2026_MIDC_1273016_1,2026_MIDC_1273016_1,"M and R to Barvi Water Works, Jambhul.. Annual Comprehensive maintenance of valves, actuators and control panel of Stage IV and V at WTP Jambhul","M and R to Barvi Water Works, Jambhul.. Annual Comprehensive maintenance of valves, actuators and control panel of Stage IV and V at WTP Jambhul",13-02-2026,17-02-2026,120,"40,200","40,11,840",Maharashtra Industrial Development Corporation||Chief Engineer (HQ) Mumbai Zone||Superintending Engineer E and M Comm. Mumbai||E and M Division Ambernath,https://mahatenders.gov.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SJhVQDyeyoVXVjK6ahdNHKg%3D%3D
2026_MCGM_1270122_1,2026_MCGM_1270122_1,Appointment of a Contractual Agency for Hiring Labour Staff for Emergency Repair Maintenance of Water Mains and Control Valves in H and K Wards under AE Maint WW South Division,Appointment of a Contractual Agency for Hiring Labour Staff for Emergency Repair Maintenance of Water Mains and Control Valves in H and K Wards under AE Maint WW South Division,13-02-2026,16-02-2026,180,"47,000","46,52,706",Municipal Corporation of Greater Mumbai||Hydraulic Engineer Department||Dy.H.E.(Maintenance)||E.E.W.W.(Maint.) Metre Workshop (Mech and Elect),https://mahatenders.gov.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SgozZnWsE%2Bhv1IZV%2B8JHwVQ%3D%3D
2026_MCGM_1272533_1,2026_MCGM_1272533_1,"Work of repairing overhauling of Suction, delivery valve of Pump No. 203 and delivery valve of Pump No.206 alongwith repairs and refurbhishment of electric actuator at Sant Gadge Maharaj Chowk pumping","Work of repairing and overhauling of Suction, delivery valve of Pump No. 203 and delivery valve of Pump No.206 alongwith repairs and refurbhishment of electric actuator at Sant Gadge Maharaj Chowk pumping station.",05-02-2026,06-02-2026,180,"11,000",NA,Municipal Corporation of Greater Mumbai||Sewerage Operation Department||Dy. Ch.E (Sewerage Operation) City||Ex.E. Mechanical (Sewerage) City-I,https://mahatenders.gov.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SLWlS2Fmp29LAJlSHMtYn%2BQ%3D%3D
2026_BEST_1272553_1,2026_BEST_1272553_1,POLE WHEEL REAR FRONT SLEEVE INJECTOR O RING VALVE STEM SPRING COLLECT RETAINER,POLE WHEEL REAR FRONT SLEEVE INJECTOR O RING VALVE STEM SPRING COLLECT RETAINER,16-02-2026,18-02-2026,90,"3,000",NA,Brihanmumbai Electric Supply and Transport Undertaking||Materials Management Department Mumbai||Materials Management Department Dadar||Transport - I,https://mahatenders.gov.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SzJ7b0n69rVmpg3yURxZBVg%3D%3D
2026_MCGM_1272100_1,2026_MCGM_1272100_1,Work of repairs and overhauling of Rotork make  electrical actuators (Type-IQ25) installed over the  Knife gate valves at Malad pumping station.,"Work of repairs and overhauling of Rotork make 
electrical actuators (Type-IQ25) installed over the Knife gate valves at Malad pumping station.",04-02-2026,05-02-2026,90,"3,000",NA,Municipal Corporation of Greater Mumbai||Sewerage Operation Department||Dy. Ch.E (Sewerage Operation) Western Suburbs||Ex.E. Mechanical (Sewerage) Western Suburbs,https://mahatenders.gov.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SJjmUv8lj%2BTsHWrRPT2AXvw%3D%3D
2026_MHADA_1271919_1,2026_MHADA_1271919_1,"S.R. Work to the TC building known as 6,7A, 7B, 8A, 8B, Patliputra Nagar, Jogeshwari (W), in G/S ward, Mumbai.- replacement of rusted GI pipe and gate valves and attending leakages to PVC pipe and rep","S.R. Work to the TC building known as 6,7A, 7B, 8A, 8B, Patliputra Nagar, Jogeshwari (W), in G/S ward, Mumbai.- replacement of rusted GI pipe and gate valves and attending leakages to PVC pipe and repairs to open gutter.",10-02-2026,12-02-2026,90,0.00,"39,53,611",Maharashtra Housing and Area Development Authority||Building Repaire and Reconstruction Board - Mumbai,https://mahatenders.gov.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SH7hBhZJj6xaheythPGEoiA%3D%3D
