tender_id,description,due_date,url
2025_MES_736213_2,"REPAIR / MAINT OF WATER SUPPLY DISTRIBUTION PIPE LINE, RISING MAIN, CONTROL VALVES, CLEANING OF UNDER GROUND SUMP AND OTHER MISC WORKS OF WATER SUPPLY IN TECH AREA AT AF STN HALWARA",14-02-2026,https://defproc.gov.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=840576
2026_MNGL_263868_1,"Annual Rate Contract for Procurement of SS Fittings, SS Ball Valves and Thermoplastic Hoses for CNG and CGD Projects of MNGL",04-02-2026,https://etenders.gov.in/eprocure/app?page=FrontEndTenderDetailsExternal&service=page&tnid=306116
2026_ONGC_263796_1,Procurement of Actuators for GTG and PGC Gas Fuel Valves of B193 Platform,04-02-2026,https://etenders.gov.in/eprocure/app?page=FrontEndTenderDetailsExternal&service=page&tnid=306051
2026_MES_749483_1,"REPAIR / MAINT OF WATER SUPPLY DISTR SYSTEM WITH DIFFERENT VALVES AND CONNECTED WORKS AT CH (CC), CMDC, BASE HOSP ETC IN THE AREA OF AGE E/M (HOSP) UNDER GE E/M LUCKNOW",12-02-2026,https://defproc.gov.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=839369
106943751,"PDF Tender: Procurement of Valves etc., for Track Machine.",Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/022026/106943751/viewNitPdf_5257280.pdf
2026_FACT_894704_1,"Removal and Refixing of Control Valves, Flow Meters, Relief valves and Isolation valves in the NP Plant, FACT CD, during ATA 2026",04-02-2026,https://eprocure.gov.in/eprocure/app?page=FrontEndTenderDetailsExternal&service=page&tnid=940422
2026_MES_749200_1,"REPAIR / MAINT /REPLACEMENT OF GATE VALVES, SLUICE VALVE, NRV AND VALVE PIT CHAMBER UNDER GE (WEST) MATHURA",09-02-2026,https://defproc.gov.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=839027
68256159,PDF Tender: SET OF VALVES FOR M/s KBIL MAKE AWS AND [SET OF VALVES FOR M/s KBIL MAKE AWS AND DEADMAN BRAKE ACTUATING CONTROL PANEL COMPRISING OF: 1) MAIN VALVE (DEAD MANS VALVE) S1/S2 TO M/s KBIL PART No. I74911/110 RC Qty. =01 No. 2) MAGNET VALVE MV1 /MV2 TO M/s KBIL PART No II 51660/110 Qty. =01 No. 3) ISOLATING COCK C1/C2 TO M/s KBIL PART No. WBAHB230AA002 Qty. =01 No. 4) ISOLATING VALVE C3/C4 TO M/s KBIL PART No. II 30339 Qty. -01 No. (One set consists of 04 items having 04 Nos. per set) ],Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/022026/106942660/viewNitPdf_5255775.pdf
2026_MES_749068_1,"REPAIR / REPLACEMENT OF EXTERNAL WATER SUPPLY GI/CI/DI LINES, CONTROL VALVES, PUMP, MOTORS, CLEANING OF OHT/UG SUMPS AND ALLIED E/M WORKS AT MIL STN BHUSAWAL UNDER GE(SOUTH) AHILYANAGAR",06-02-2026,https://defproc.gov.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=838880
basis,"PDF Tender: Overhauling/Rehabilitation of valves fitted of CCB-1.5 system including repair attention, re-qualification of brake controller PCB & replacement of potentiometer of HHP locomotives of Andal Diesel Shed, E Rly. through the OEM, M/s Knorr Bremse India Pvt. Ltd. for 35 locomotives on a single tender basis during 6th yearly schedule.",Not specified,https://www.ireps.gov.in/ireps/works/pdfdocs/022026/86827121/viewNitPdf_5253229.pdf
