tender_id,description,due_date,url
2026_MOIL_828571_1,"Repair and joining of conveyor belts of IMB, 30TPH and 70TPH Plants of Dongri Buzurg Mine.",03-03-2026,https://eprocure.gov.in/epublish/app?page=FrontEndTenderDetailsExternal&service=page&tnid=1133573
2026_RINL_828563_1,lagging of conveyor pulleys and hot vulcanizing and associated jobs in steel cord conveyor belts and,02-03-2026,https://eprocure.gov.in/epublish/app?page=FrontEndTenderDetailsExternal&service=page&tnid=1133565
2026_CCL_352650_1,Repairing of 08 nos. bearing block for for bearing 22228K and 07 nos. bearing block for bearing 22232K of different belt conveyor of main plant of Kedla Washery.,20-02-2026,https://coalindiatenders.nic.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=365444
2026_SECL_352613_1,Cleaning of coal/malma/debris below and sides of belt conveyors of Rajnagar RO Colliery of Hasdeo Area,02-03-2026,https://coalindiatenders.nic.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=365403
106959661,PDF Tender: Elbow 45 Degree hose tail for 03 Phase AC Locos sand conveyors a per CLW Drawing No. 182-00366.,Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/022026/106959661/viewNitPdf_5277806.pdf
2026_CCL_352581_1,Repairing / Replacement and Overhauling of Washed Coal Power Shuttle Belt Conveyor Track Rail 30 lbs at Sawang Washery.,18-02-2026,https://coalindiatenders.nic.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=365371
30eb6edf2bae,,Not specified,https://sailtenders.co.in/Home/TendDetails?hTend=104276
2026_ECL_352500_1,"Transportation, Installation, Commissioning, Necessary Fabrication and Trial run including Civil work of two nos. of 1200 mm width 2x150KW, 6.6KV PVC Belt Conveyor phase wise for a total length of 1240 mtr. from 11XD -2L to 11XD 29L CM Panel-11 in R",17-02-2026,https://coalindiatenders.nic.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=365290
106959153,"PDF Tender: Roller Conveyor Chain as per Plasser part no.-SU-3 -P ,Make-Plasser or equivalent.(*Note-Spares confirming to Plasser part number should be fitted in machine without any modification.)",Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/032026/106959153/viewNitPdf_5277160.pdf
106958145,PDF Tender: RUBBER CONVEYOR BELTING,Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/022026/106958145/viewNitPdf_5275933.pdf
