tender_id,description,due_date,url
87329974,"PDF Tender: Provision of Safety features in 08 passengers (544 Kg) capacity LIFTON make Elevator installed at ORH , Mt Road Nagpur",Not specified,https://www.ireps.gov.in/ireps/works/pdfdocs/032026/87329974/viewNitPdf_5280371.pdf
87329701,PDF Tender: Provision of Safety features in Lifts of Virtual Elevators make installed over Nagpur Division,Not specified,https://www.ireps.gov.in/ireps/works/pdfdocs/032026/87329701/viewNitPdf_5280360.pdf
87287984,"PDF Tender: Provision of Safety features in Lifts (M/s Omega Elevators) installed at Rajnandgaon Railway Station near PRS, Gondia Railway Station PF-2 and Gondia Railway Station PF-4 near PRS.",Not specified,https://www.ireps.gov.in/ireps/works/pdfdocs/032026/87287984/viewNitPdf_5277619.pdf
2026_FACT_898881_1,Inspection of Bucket Elevator and Dust-Collector in PA Plant,04-03-2026,https://eprocure.gov.in/eprocure/app?page=FrontEndTenderDetailsExternal&service=page&tnid=944827
2026_NTPC_105183_1,Biennial Maintenance contract of lifts TK Elevator Pvt Ltd at NTPC NavaRaipur office and Guest House,20-02-2026,https://eprocurentpc.nic.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=108413
2026_NTPC_105053_1,Servicing Contract of KONE make Boiler elevators of Barauni Stage 2 fromOEM,23-02-2026,https://eprocurentpc.nic.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=108288
87401713,PDF Tender: Vadodara Division: Provision of Manual Rescue Operation (MRO) device in Elevators of M/s Johnson Lifts Pvt. Ltd. installed at various stations of BRC division.,Not specified,https://www.ireps.gov.in/ireps/works/pdfdocs/032026/87401713/viewNitPdf_5284093.pdf
2026_HSL_98961_1,,Not specified,https://eprocurehslgsl.nic.in/?page=FrontEndTenderDetailsExternal&service=page&tnid=108531
2026_NTPC_104993_1,"Supply, installation and commissioning of Elevator/ lift with no machine room and no lift pit",26-02-2026,https://eprocurentpc.nic.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=108227
2026_CCL_352584_1,,Not specified,https://coalindiatenders.nic.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=365375
4e6fc8b9b4a3,,Not specified,https://tenders.hpcl.co.in/TenderManagementSystem/validatePublicTenders
106956600,"PDF Tender: Design, Supply, Installation, Testing, Commissioning and Maintenance of Heavy duty Elevators of machine room less and gearless type of 14 nos passenger capacity",Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/032026/106956600/viewNitPdf_5275357.pdf
86333479,PDF Tender: Dismantling and re-erection of Existing ThyssenKrupp (TK Elevators) Escalator for renovation of KKVS platform of Metro Railway Kolkata,Not specified,https://www.ireps.gov.in/ireps/works/pdfdocs/022026/86333479/viewNitPdf_5229234.pdf
2026_NCSM_896843_1,Design Engineering Manufacture Fabrication Assembly Testing and Commissioning of Passenger Elevator at the Food Court of Science City Kolkata,28-02-2026,https://eprocure.gov.in/eprocure/app?page=FrontEndTenderDetailsExternal&service=page&tnid=942692
2026_ONGC_265294_1,Procurement of Elevators Link,24-02-2026,https://etenders.gov.in/eprocure/app?page=FrontEndTenderDetailsExternal&service=page&tnid=308029
106954468,"PDF Tender: Design, Manufacture, supply, erection, testing and commissioning of heavy duty elevator for 08 passenger lift at SSE/C/EL/JAIPUR Office.",Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/022026/106954468/viewNitPdf_5271581.pdf
106951789,PDF Tender: 10 PASSENGER CAPACITY ELEVATOR,Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/022026/106951789/viewNitPdf_5268090.pdf
87075789,PDF Tender: Comprehensive Annual Maintenance contract for the 1st time for M/s Johnson make Passenger Elevators - 2 Nos. installed at Kuttippuram Railway Station PF No.1 & 2 for a period of 5 Years,Not specified,https://www.ireps.gov.in/ireps/works/pdfdocs/022026/87075789/viewNitPdf_5266801.pdf
2026_EIL_895168_1,"GOODS CUM PASSENGER ELEVATOR (HAZARDOUS AREA) FOR PDH PP PLANT WITH ETHANE AND PROPANE HANDLING FACILITIES PROJECT AT DAHEJ, GUJARAT",26-02-2026,https://eprocure.gov.in/eprocure/app?page=FrontEndTenderDetailsExternal&service=page&tnid=940905
2026_BBMB_263280_1,Overhauling and Renovation of Elevator 2500 lbs. capacity (23 A) and 8000 lbs. (17 A) installed at Bhakra Dam,26-02-2026,https://etenders.gov.in/eprocure/app?page=FrontEndTenderDetailsExternal&service=page&tnid=305342
