tender_id,description,due_date,url
106958181,"PDF Tender: Sluice valves for water works purpose, C.I. Flanged type in the sizes and pressure designation confirming to IS:14846/2000 with Amdt.No. 1&2. Components/Parts of sluice valves shall be manufactured from basic material given in table 1 of IS: 14846/2000 with amdt. No. 1& 2. The valve shall be tested for (closed end test) against hydrostatic test requirement. Normal Size 150 mm, Pressure Designation: P.N.1.0 with P.D.",Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/032026/106958181/viewNitPdf_5275989.pdf
2026_BHEL_58038_1,"Procurement of Valves and Accessories
(H6A1Z43907)",16-02-2026,https://eprocurebhel.co.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=62732
2026_ECL_352498_1,Installation of one no. 350 mtr head 1000 GPM pump with 425 KW motor with  all valves and bends and pipe at 75L/13D at LHCM1 section in RVIIA seam of 3and4 Incline UG of Jhanjra Project Colliery,17-02-2026,https://coalindiatenders.nic.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=365288
2026_BHEL_58034_1,Supply of Globe Valves,16-02-2026,https://eprocurebhel.co.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=62728
2026_BHEL_58017_1,,Not specified,https://eprocurebhel.co.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=62710
2026_CSL_265784_1,As per attached scope of work,11-02-2026,https://etenders.gov.in/eprocure/app?page=FrontEndTenderDetailsExternal&service=page&tnid=308695
2026_JR_188766_1,,Not specified,https://iocletenders.nic.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=199033
2025_JPL_260184_2,Annual overhaulling services for boiler pressure parts valves soot blowers and burners,16-02-2026,https://etenders.gov.in/eprocure/app?page=FrontEndTenderDetailsExternal&service=page&tnid=308408
03515ae93d11,Error accessing tender: RATE CONTRACT FOR THE SUPPLY OF VALVES (GATE-GLOBE-CHECK),Not specified,https://bpcltenders.eproc.in/
106955787,"PDF Tender: Set of Valves ( Leveling Valve Qty. 02 Nos. and Duplex Check Valve Qty. 1 No.) to FTIL leveling valve part no. 038001000, Duplex Check Valve Part No. 039001500 or KBIL leveling valve part No. 1.3.1901, Duplex Check Valve Part No. 1.3.1902 or ESCORTS Leveling valve part no. 3EB 6631, Duplex check valve part no. 3EB 6632 or equivalent (One set consisting of 02 Items and 3 No.) Confirming to RDSO spec no-C-K407 Rev-4.",Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/022026/106955787/viewNitPdf_5273212.pdf
