tender_id,description,due_date,url
01262088,PDF Tender: Set of Safety Valves for BHEL-AC & MEDHA Rakes of Kolkata Metro.,Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/022026/106953695/viewNitPdf_5270638.pdf
2026_BHEL_57779_1,Supply of Globe Valves,10-02-2026,https://eprocurebhel.co.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=62469
2025_MES_736213_2,"REPAIR / MAINT OF WATER SUPPLY DISTRIBUTION PIPE LINE, RISING MAIN, CONTROL VALVES, CLEANING OF UNDER GROUND SUMP AND OTHER MISC WORKS OF WATER SUPPLY IN TECH AREA AT AF STN HALWARA",14-02-2026,https://defproc.gov.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=840576
2026_BHEL_57660_1,Pneumatic Butterfly Valves for North Chennai Project,02-02-2026,https://eprocurebhel.co.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=62344
106950688,PDF Tender: SET OF DOUBLE CHECK VALVES to FTRTIPL Part Number FT0051401-K73 AS PER ANNEXURE.,Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/022026/106950688/viewNitPdf_5266733.pdf
2026_MES_750124_1,"REPAIR MAINT OF CHLORINATION PLANTS, ELECTRICAL PANELS, PERIODICAL SERVICES OF FILTERATION PLANT, VALVES, VALVE PITS AND WATER QUALITY REPORTS AT OTHER THAN BASISTHA AND REPAIR MAINT OF FIRE FIGHTING EQUIPMENT, PUMPS, HOSE REEL BOXES, MAINT OF STP AN",17-02-2026,https://defproc.gov.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=840134
2026_MES_750096_1,"REPAIR MAINT OF CHLORINATION PLANTS, ELECTRICAL PANELS, VALVES AND VALVE PITS AND CONNECTED ITEMS IN ALL PUMP HOUSE AND REPAIR/REPLACEMENT OF INTERNAL WIRING WITH FITTING FIXTURES AT OTM ACCN BASISTHA UNDER GE GUWAHATI",17-02-2026,https://defproc.gov.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=840099
86996057,"PDF Tender: Contract for the work of Installation, Commissioning, Leakage, testing of Air Suspension Reservoir, Control Equipment along with pipeline fittings and valves etc. as per drawing nos. 61705003 alt-nil for bogies fitted with Bogie Bolster within built reservoir procured, against Pl. No. 30040231 Drawing No. ICF/SK3-0-4-001 Alt d",Not specified,https://www.ireps.gov.in/ireps/works/pdfdocs/022026/86996057/viewNitPdf_5262625.pdf
2026_CCL_351718_1,"Repairing of centrifugal pump, its delivery line, mountings replacement of valves, repairing of driver lines of WS28-II 28290 water sprinkle  of Jarangdih Colliery.",06-02-2026,https://coalindiatenders.nic.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=364483
2026_SPMCI_826809_1,Procurement of Different type of valves for machine house and Boiler house,24-02-2026,https://eprocure.gov.in/epublish/app?page=FrontEndTenderDetailsExternal&service=page&tnid=1131841
