tender_id,description,due_date,url
01262088,PDF Tender: Set of Safety Valves for BHEL-AC & MEDHA Rakes of Kolkata Metro.,Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/022026/106953695/viewNitPdf_5270638.pdf
2026_BHEL_57779_1,Supply of Globe Valves,10-02-2026,https://eprocurebhel.co.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=62469
2026_MES_750679_1,REPAIR  REPLACEMENT OF UNSERVICEABLE EXTERNAL WATER SUPPLY CI DI GI MAINT DISTRIBUTION PIPE LINE CONTROL VALVES AND ALLIED WORK AT BHARATPUR MIL STN UNDER GE BHARATPUR,20-02-2026,https://defproc.gov.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=840754
77265030,PDF Tender: Connector set with cable for Magnet Valves,Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/022026/106953482/viewNitPdf_5270403.pdf
42261345,PDF Tender: et of various safety valves,Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/022026/106953270/viewNitPdf_5270057.pdf
2026_PR_188680_1,"RPRC266034-Rate contract for supply and installation of gland packings for valves,pumps and exchangers installed in various units in P25 of Panipat Refinery and Petrochemical Complex",14-02-2026,https://iocletenders.nic.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=198950
2026_MES_750588_1,"REPAIR / REPLACEMENT OF VALVES, STARTER, PUMPS CLEANING OF OHT / UG SUMP, LEAKING PIPES CHAMBER,. REWINDING OF PUMPS AT VARIOUS LOCATIONS AT AF STATION KALAIKUNDA",20-02-2026,https://defproc.gov.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=840659
2026_BHEL_57726_1,Control Vavles,09-02-2026,https://eprocurebhel.co.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=62413
2025_MES_736207_2,"REPAIR / MAINT OF WATER SUPPLY DISTRIBUTION PIPE LINE, RISING MAIN, CONTROL VALVES,  CLEANING OF UNDER GROUND SUMP AND OTHER MISC WORKS OF WATER SUPPLY IN DOMESTIC AREA AT AF STN HALWARA",14-02-2026,https://defproc.gov.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=840589
2025_MES_736213_2,"REPAIR / MAINT OF WATER SUPPLY DISTRIBUTION PIPE LINE, RISING MAIN, CONTROL VALVES, CLEANING OF UNDER GROUND SUMP AND OTHER MISC WORKS OF WATER SUPPLY IN TECH AREA AT AF STN HALWARA",14-02-2026,https://defproc.gov.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=840576
2025_MES_746225_2,"REPAIRS / MAINT OF EXTERNAL WATER SUPPLY PIPE LINE, VALVES, PUMP, MOTOR, RO PLANT AND STP WITH MISC ALLIED WORKS AT CGRA NALIYA AND ICGS JAKHAU UNDER GE (I) (CG) GANDHINAGAR",13-02-2026,https://defproc.gov.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=840454
2026_MES_750361_1,"REPAIR/ RECTIFICATION OF DAY-TO-DAY COMPLAINTS OF EXTERNAL WATER SUPPLY SYSTEM INCLUDING REPAIR/ REPLACEMENT OF CI/ DI/ MS/ PPR PIPELINE NETWORK, SLUICE VALVES, VALVE -PIT CHAMBERS AND CONNECTED WORKS AT TASA STATION CANTEEN AREA, ASRI, EME BN OFFICE",19-02-2026,https://defproc.gov.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=840411
2026_BHEL_57660_1,Pneumatic Butterfly Valves for North Chennai Project,02-02-2026,https://eprocurebhel.co.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=62344
106950688,PDF Tender: SET OF DOUBLE CHECK VALVES to FTRTIPL Part Number FT0051401-K73 AS PER ANNEXURE.,Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/022026/106950688/viewNitPdf_5266733.pdf
2026_MES_750124_1,"REPAIR MAINT OF CHLORINATION PLANTS, ELECTRICAL PANELS, PERIODICAL SERVICES OF FILTERATION PLANT, VALVES, VALVE PITS AND WATER QUALITY REPORTS AT OTHER THAN BASISTHA AND REPAIR MAINT OF FIRE FIGHTING EQUIPMENT, PUMPS, HOSE REEL BOXES, MAINT OF STP AN",17-02-2026,https://defproc.gov.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=840134
2026_MES_750096_1,"REPAIR MAINT OF CHLORINATION PLANTS, ELECTRICAL PANELS, VALVES AND VALVE PITS AND CONNECTED ITEMS IN ALL PUMP HOUSE AND REPAIR/REPLACEMENT OF INTERNAL WIRING WITH FITTING FIXTURES AT OTM ACCN BASISTHA UNDER GE GUWAHATI",17-02-2026,https://defproc.gov.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=840099
86996057,"PDF Tender: Contract for the work of Installation, Commissioning, Leakage, testing of Air Suspension Reservoir, Control Equipment along with pipeline fittings and valves etc. as per drawing nos. 61705003 alt-nil for bogies fitted with Bogie Bolster within built reservoir procured, against Pl. No. 30040231 Drawing No. ICF/SK3-0-4-001 Alt d",Not specified,https://www.ireps.gov.in/ireps/works/pdfdocs/022026/86996057/viewNitPdf_5262625.pdf
2026_CCL_351718_1,"Repairing of centrifugal pump, its delivery line, mountings replacement of valves, repairing of driver lines of WS28-II 28290 water sprinkle  of Jarangdih Colliery.",06-02-2026,https://coalindiatenders.nic.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=364483
2026_SPMCI_826809_1,Procurement of Different type of valves for machine house and Boiler house,24-02-2026,https://eprocure.gov.in/epublish/app?page=FrontEndTenderDetailsExternal&service=page&tnid=1131841
2026_BHEL_57361_1,"Procurement of Valves and Accessories
(Enquiry Ref. H6A1Z43625)",02-02-2026,https://eprocurebhel.co.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=61991
2026_MES_749631_1,COMPREHENSIVE MAINTENANCE OF FIRE FIGHTING PANELS  PIPE LINES  VALVES BOOSTER PUMPS AND CONNECTED WORKS OF VARUNAPURI  TRISHUL ENCLAVE  KIRTI ENCLAVE DCRA AREA UNDER AGE EM II OF GENW VASCO,12-02-2026,https://defproc.gov.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=839538
66259419,PDF Tender: Procurement of different types of Valves for Track Machine.,Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/022026/106944866/viewNitPdf_5259071.pdf
2026_MNGL_263868_1,"Annual Rate Contract for Procurement of SS Fittings, SS Ball Valves and Thermoplastic Hoses for CNG and CGD Projects of MNGL",04-02-2026,https://etenders.gov.in/eprocure/app?page=FrontEndTenderDetailsExternal&service=page&tnid=306116
2026_ONGC_263796_1,Procurement of Actuators for GTG and PGC Gas Fuel Valves of B193 Platform,04-02-2026,https://etenders.gov.in/eprocure/app?page=FrontEndTenderDetailsExternal&service=page&tnid=306051
2026_MES_749483_1,"REPAIR / MAINT OF WATER SUPPLY DISTR SYSTEM WITH DIFFERENT VALVES AND CONNECTED WORKS AT CH (CC), CMDC, BASE HOSP ETC IN THE AREA OF AGE E/M (HOSP) UNDER GE E/M LUCKNOW",12-02-2026,https://defproc.gov.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=839369
106943751,"PDF Tender: Procurement of Valves etc., for Track Machine.",Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/022026/106943751/viewNitPdf_5257280.pdf
2026_FACT_894704_1,"Removal and Refixing of Control Valves, Flow Meters, Relief valves and Isolation valves in the NP Plant, FACT CD, during ATA 2026",04-02-2026,https://eprocure.gov.in/eprocure/app?page=FrontEndTenderDetailsExternal&service=page&tnid=940422
2026_MES_749200_1,"REPAIR / MAINT /REPLACEMENT OF GATE VALVES, SLUICE VALVE, NRV AND VALVE PIT CHAMBER UNDER GE (WEST) MATHURA",09-02-2026,https://defproc.gov.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=839027
