tender_id,description,due_date,url
e516c8dacc44,Error accessing tender: Procurement for Turbine High Energy Drain Valves Make M s Sempell against Approved For NTPC Vindhyachal,Not specified,http://www.ntpctender.com/
17125eabc871,,Not specified,https://tenders.hpcl.co.in/TenderManagementSystem/validatePublicTenders
2026_MES_751774_1,"REPAIR REPLACEMENT OF WATER MAIN LINE, REPAIR  REPLACEMENT OF UNSV GI PIPE, VALVES, LOFT TANK, CLEANING OF TANK AND OTHER CONNECTED WORK UNDER CELL NO 1, 
AGE BR1 UNDER GE (NW) NOFRA",26-02-2026,https://defproc.gov.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=841993
2026_ONGC_265912_1,Procurement of Spares for Samson make Control Valves installed at Tripura Asset,26-02-2026,https://etenders.gov.in/eprocure/app?page=FrontEndTenderDetailsExternal&service=page&tnid=308833
106960655,PDF Tender: OVERHAULING KIT FOR VENT VALVE,Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/032026/106960655/viewNitPdf_5278896.pdf
106960650,PDF Tender: Overhauling kit for Feed valve (KBI part No.760533) KBI KIT NO.XKI/KIT/01750 of M/s.Knorr Bremse Make CCB System. Kit Consists of 19 items 20 Nos (Kit details as per attached Annexure).,Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/022026/106960650/viewNitPdf_5278891.pdf
106960596,PDF Tender: KIT FOR FEED VALVE F-2,Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/022026/106960596/viewNitPdf_5278831.pdf
106960429,PDF Tender: EMERGENCY BRAKE ACCELERATOR VALVE,Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/022026/106960429/viewNitPdf_5278682.pdf
106960391,PDF Tender: 1/2 inch Safety valve type T-2 set,Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/022026/106960391/viewNitPdf_5278598.pdf
106960371,PDF Tender: CHECK VALVE 1 ( one inch) for locomotive,Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/022026/106960371/viewNitPdf_5278585.pdf
