tender_id,description,due_date,url
2026_MES_750124_1,"REPAIR MAINT OF CHLORINATION PLANTS, ELECTRICAL PANELS, PERIODICAL SERVICES OF FILTERATION PLANT, VALVES, VALVE PITS AND WATER QUALITY REPORTS AT OTHER THAN BASISTHA AND REPAIR MAINT OF FIRE FIGHTING EQUIPMENT, PUMPS, HOSE REEL BOXES, MAINT OF STP AN",17-02-2026,https://defproc.gov.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=840134
2026_MES_750096_1,"REPAIR MAINT OF CHLORINATION PLANTS, ELECTRICAL PANELS, VALVES AND VALVE PITS AND CONNECTED ITEMS IN ALL PUMP HOUSE AND REPAIR/REPLACEMENT OF INTERNAL WIRING WITH FITTING FIXTURES AT OTM ACCN BASISTHA UNDER GE GUWAHATI",17-02-2026,https://defproc.gov.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=840099
86996057,"PDF Tender: Contract for the work of Installation, Commissioning, Leakage, testing of Air Suspension Reservoir, Control Equipment along with pipeline fittings and valves etc. as per drawing nos. 61705003 alt-nil for bogies fitted with Bogie Bolster within built reservoir procured, against Pl. No. 30040231 Drawing No. ICF/SK3-0-4-001 Alt d",Not specified,https://www.ireps.gov.in/ireps/works/pdfdocs/022026/86996057/viewNitPdf_5262625.pdf
2026_CCL_351718_1,"Repairing of centrifugal pump, its delivery line, mountings replacement of valves, repairing of driver lines of WS28-II 28290 water sprinkle  of Jarangdih Colliery.",06-02-2026,https://coalindiatenders.nic.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=364483
106945732,PDF Tender: A Set of Valves to Lateral conveyors.,Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/012026/106945732/viewNitPdf_5260821.pdf
2026_SPMCI_826809_1,Procurement of Different type of valves for machine house and Boiler house,24-02-2026,https://eprocure.gov.in/epublish/app?page=FrontEndTenderDetailsExternal&service=page&tnid=1131841
2026_BHEL_57361_1,"Procurement of Valves and Accessories
(Enquiry Ref. H6A1Z43625)",02-02-2026,https://eprocurebhel.co.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=61991
2026_NTPC_104382_1,Procurement for Turbine High Energy Drain Valves Make M s Sempellagainst Approved For NTPC Vindhyachal,28-01-2026,https://eprocurentpc.nic.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=107611
2026_MES_749631_1,COMPREHENSIVE MAINTENANCE OF FIRE FIGHTING PANELS  PIPE LINES  VALVES BOOSTER PUMPS AND CONNECTED WORKS OF VARUNAPURI  TRISHUL ENCLAVE  KIRTI ENCLAVE DCRA AREA UNDER AGE EM II OF GENW VASCO,12-02-2026,https://defproc.gov.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=839538
2026_RSO_188556_1,Replacement of old deluge valves with auto-reset type deluge valves at Jhunjhunu Bottling Plant,30-01-2026,https://iocletenders.nic.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=198826
