tender_id,description,due_date,url
106953695,PDF Tender: Set of Safety Valves for BHEL-AC & MEDHA Rakes of Kolkata Metro.,Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/022026/106953695/viewNitPdf_5270638.pdf
106953482,PDF Tender: Connector set with cable for Magnet Valves,Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/022026/106953482/viewNitPdf_5270403.pdf
106953270,PDF Tender: et of various safety valves,Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/022026/106953270/viewNitPdf_5270057.pdf
106950688,PDF Tender: SET OF DOUBLE CHECK VALVES to FTRTIPL Part Number FT0051401-K73 AS PER ANNEXURE.,Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/022026/106950688/viewNitPdf_5266733.pdf
86996057,"PDF Tender: Contract for the work of Installation, Commissioning, Leakage, testing of Air Suspension Reservoir, Control Equipment along with pipeline fittings and valves etc. as per drawing nos. 61705003 alt-nil for bogies fitted with Bogie Bolster within built reservoir procured, against Pl. No. 30040231 Drawing No. ICF/SK3-0-4-001 Alt d",Not specified,https://www.ireps.gov.in/ireps/works/pdfdocs/022026/86996057/viewNitPdf_5262625.pdf
106944866,PDF Tender: Procurement of different types of Valves for Track Machine.,Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/022026/106944866/viewNitPdf_5259071.pdf
106943751,"PDF Tender: Procurement of Valves etc., for Track Machine.",Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/022026/106943751/viewNitPdf_5257280.pdf
106942660,PDF Tender: SET OF VALVES FOR M/s KBIL MAKE AWS AND [SET OF VALVES FOR M/s KBIL MAKE AWS AND DEADMAN BRAKE ACTUATING CONTROL PANEL COMPRISING OF: 1) MAIN VALVE (DEAD MANS VALVE) S1/S2 TO M/s KBIL PART No. I74911/110 RC Qty. =01 No. 2) MAGNET VALVE MV1 /MV2 TO M/s KBIL PART No II 51660/110 Qty. =01 No. 3) ISOLATING COCK C1/C2 TO M/s KBIL PART No. WBAHB230AA002 Qty. =01 No. 4) ISOLATING VALVE C3/C4 TO M/s KBIL PART No. II 30339 Qty. -01 No. (One set consists of 04 items having 04 Nos. per set) ],Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/022026/106942660/viewNitPdf_5255775.pdf
86827121,"PDF Tender: Overhauling/Rehabilitation of valves fitted of CCB-1.5 system including repair attention, re-qualification of brake controller PCB & replacement of potentiometer of HHP locomotives of Andal Diesel Shed, E Rly. through the OEM, M/s Knorr Bremse India Pvt. Ltd. for 35 locomotives on a single tender basis during 6th yearly schedule.",Not specified,https://www.ireps.gov.in/ireps/works/pdfdocs/022026/86827121/viewNitPdf_5253229.pdf
106939606,PDF Tender: ISI Marked Lead Tin Bronze Gate Valves for Water Works purposes with Integral Seats Screwed On Bonnet Confirming To IS 778/1984 (Reaffirmed 1995) with amendment No.1&2 in class 2 with Body End Screwed class-2 size 25mm,Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/022026/106939606/viewNitPdf_5251340.pdf
106933810,PDF Tender: Fully automatic test bench for different makes of Magnet valves,Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/022026/106933810/viewNitPdf_5250158.pdf
106933908,PDF Tender: Pneumatic Valves,Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/022026/106933908/viewNitPdf_5249944.pdf
86703666,PDF Tender: Katni-New Katni junction: Operation and maintenance of pump & valves (7+7=14 Nos) in various colony s Pump house at Katni and New Katni Junction under Assistant Divisional Engineer(Maintenance) Katni Sub-division. (for two year),Not specified,https://www.ireps.gov.in/ireps/works/pdfdocs/022026/86703666/viewNitPdf_5245924.pdf
106934112,"PDF Tender: The Procurement Of The Pneumatic Throttle Valves Solenoid Valves, Quick-release Valves and Drip Cups.",Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/022026/106934112/viewNitPdf_5244012.pdf
106924873,"PDF Tender: Procurement of Valves etc., for Track Machine.",Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/022026/106924873/viewNitPdf_5241281.pdf
106924350,PDF Tender: Set of Air Pressure master gauges of direct mounting type with 1/2 inch BSP bottom connector for testing of Pneumatic valves & pressure gauges required for AC electric locomotive as per set details are attached at Annexure-A. Makes: H.K.Company/ Transcal/ Midlands/ Topgrip.,Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/022026/106924350/viewNitPdf_5232425.pdf
