tender_id,description,due_date,url
2026_PDR_188818_1,,Not specified,https://iocletenders.nic.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=199081
2026_NIPGR_897378_1,Tender for Maintenance of HVAC Chiller Feeding Old Lab Block at NIPGR,26-02-2026,https://eprocure.gov.in/eprocure/app?page=FrontEndTenderDetailsExternal&service=page&tnid=943247
7bdef57f0431,Error accessing tender: Repair and Maintenance of HVAC ducts and chilled water pipelines insulation at phase V in IIMK campus.,Not specified,https://mhrd.ewizard.in/
106957666,PDF Tender: Amit make HVAC spare Fresh Air Sensors,Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/022026/106957666/viewNitPdf_5275423.pdf
106957656,PDF Tender: Amit make HVAC spare Differential,Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/022026/106957656/viewNitPdf_5275399.pdf
2026_DIPP_828125_1,Appointment of MEP Consultant for providing HVAC system at NID Ahmedabad and Gandhinagar campus,19-02-2026,https://eprocure.gov.in/epublish/app?page=FrontEndTenderDetailsExternal&service=page&tnid=1133138
2026_PFRDA_828038_1,"Tender on PERCENTAGE-RATE BASIS for proposed civil, interior renovation, furnishing, electrical, hvac, allied services work for PFRDA regional office at 16th Floor, F-Wing, Maker Towers, Cuffe Parade, Mumbai",19-02-2026,https://eprocure.gov.in/epublish/app?page=FrontEndTenderDetailsExternal&service=page&tnid=1133053
106955929,PDF Tender: HVAC spare Fresh Air Filters for Vande Bharat,Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/022026/106955929/viewNitPdf_5273417.pdf
106955849,PDF Tender: Sidwal make HVAC spare Harting Connector,Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/022026/106955849/viewNitPdf_5273297.pdf
87217968,PDF Tender: Procurement of Fins Type Heating Element/ HVAC/RS-2,Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/022026/87217968/viewNitPdf_5273281.pdf
